,,,CH2 T,CH2 V
Record Length,2500.0000000000,,-0.250000000000,-0.00320
Sample Interval,0.0002000000,,-0.249800000000,-0.00400
Trigger Point,1250.0000000000000000,,-0.249600000000,-0.00320
,,,-0.249400000000,-0.00320
,,,-0.249200000000,-0.00240
,,,-0.249000000000,-0.00160
Source,CH2,,-0.248800000000,-0.00240
Vertical Units,V,,-0.248600000000,-0.00240
Vertical Scale,0.0200000000,,-0.248400000000,-0.00240
Vertical Offset,-0.0400000000,,-0.248200000000,-0.00160
Horizontal Units,s,,-0.248000000000,-0.00160
Horizontal Scale,0.0500000000,,-0.247800000000,-0.00080
Pt Fmt,Y,,-0.247600000000,-0.00080
Yzero,0.0000000000,,-0.247400000000,-0.00080
Probe Atten,1.0000000000,,-0.247200000000,0.00000
Model Number,TBS1102,,-0.247000000000,0.00000
Serial Number,C053177,,-0.246800000000,0.00000
Firmware Version,FV:v26.05,,-0.246600000000,0.00000
,,,-0.246400000000,0.00160
,,,-0.246200000000,0.00160
,,,-0.246000000000,0.00080
,,,-0.245800000000,0.00160
,,,-0.245600000000,0.00000
,,,-0.245400000000,0.00240
,,,-0.245200000000,0.00320
,,,-0.245000000000,0.00240
,,,-0.244800000000,0.00240
,,,-0.244600000000,0.00320
,,,-0.244400000000,0.00320
,,,-0.244200000000,0.00400
,,,-0.244000000000,0.00400
,,,-0.243800000000,0.00400
,,,-0.243600000000,0.00400
,,,-0.243400000000,0.00560
,,,-0.243200000000,0.00480
,,,-0.243000000000,0.00480
,,,-0.242800000000,0.00560
,,,-0.242600000000,0.00560
,,,-0.242400000000,0.00560
,,,-0.242200000000,0.00640
,,,-0.242000000000,0.00640
,,,-0.241800000000,0.00720
,,,-0.241600000000,0.00640
,,,-0.241400000000,0.00640
,,,-0.241200000000,0.00720
,,,-0.241000000000,0.00640
,,,-0.240800000000,0.00720
,,,-0.240600000000,0.00720
,,,-0.240400000000,0.00800
,,,-0.240200000000,0.00720
,,,-0.240000000000,0.00800
,,,-0.239800000000,0.00800
,,,-0.239600000000,0.00880
,,,-0.239400000000,0.00800
,,,-0.239200000000,0.00960
,,,-0.239000000000,0.00880
,,,-0.238800000000,0.00880
,,,-0.238600000000,0.00880
,,,-0.238400000000,0.00960
,,,-0.238200000000,0.00880
,,,-0.238000000000,0.01040
,,,-0.237800000000,0.00960
,,,-0.237600000000,0.00960
,,,-0.237400000000,0.01120
,,,-0.237200000000,0.01040
,,,-0.237000000000,0.01040
,,,-0.236800000000,0.01040
,,,-0.236600000000,0.01200
,,,-0.236400000000,0.01200
,,,-0.236200000000,0.01200
,,,-0.236000000000,0.01200
,,,-0.235800000000,0.01280
,,,-0.235600000000,0.01280
,,,-0.235400000000,0.01280
,,,-0.235200000000,0.01280
,,,-0.235000000000,0.01280
,,,-0.234800000000,0.01360
,,,-0.234600000000,0.01440
,,,-0.234400000000,0.01360
,,,-0.234200000000,0.01360
,,,-0.234000000000,0.01440
,,,-0.233800000000,0.01440
,,,-0.233600000000,0.01440
,,,-0.233400000000,0.01520
,,,-0.233200000000,0.01440
,,,-0.233000000000,0.01520
,,,-0.232800000000,0.01440
,,,-0.232600000000,0.01520
,,,-0.232400000000,0.01520
,,,-0.232200000000,0.01520
