,,,CH1 T,CH1 V,CH2 T,CH2 V
Record Length,2500.000000,,-0.25,-0.08,0.112,-0.0032
,,,-0.232,-1.92,-0.56,0.016,,,-1.68,0.0168
,,,-0.2318,-1.92,-0.56,0.016,,,-1.76,0.0168
,,,-0.2316,-1.92,-0.532,0.0152,,,-1.76,0.0168
,,,-0.2314,-1.92,-0.588,0.0168,,,-1.68,0.016
,,,-0.2312,-2,-0.56,0.016,,,-1.68,0.016
,,,-0.231,-2,-0.56,0.016,,,-1.68,0.0152
,,,-0.2308,-2,-0.588,0.0168,,,-1.68,0.0152
,,,-0.2306,-2,-0.56,0.016,,,-1.6,0.0168
,,,-0.2304,-2,-0.56,0.016,,,-1.6,0.016
,,,-0.2302,-2,-0.616,0.0176,,,-1.6,0.0152
,,,-0.23,-2,-0.588,0.0168,,,-1.52,0.0152
,,,-0.2298,-2,-0.616,0.0176,,,-1.6,0.0152
,,,-0.2296,-2.08,-0.588,0.0168,,,-1.52,0.0152
,,,-0.2294,-2.08,-0.644,0.0184,,,-1.52,0.0144
,,,-0.2292,-2.08,-0.588,0.0168,,,-1.52,0.0144
,,,-0.229,-2.08,-0.644,0.0184,,,-1.52,0.0152
,,,-0.2288,-2.08,-0.616,0.0176,,,-1.52,0.0144
,,,-0.2286,-2.08,-0.616,0.0176,,,-1.44,0.0136
,,,-0.2284,-2.08,-0.616,0.0176,,,-1.44,0.0136
,,,-0.2282,-1.92,-0.644,0.0184,,,-1.44,0.0136
,,,-0.228,-2.08,-0.616,0.0176,,,-1.44,0.0136
,,,-0.2278,-2.08,-0.616,0.0176,,,-1.36,0.0136
,,,-0.2276,-2.08,-0.616,0.0176,,,-1.36,0.0128
,,,-0.2274,-2.08,-0.644,0.0184,,,-1.28,0.0136
,,,-0.2272,-2.08,-0.616,0.0176,,,-1.36,0.012
,,,-0.227,-2.16,-0.644,0.0184,,,-1.28,0.0136
,,,-0.2268,-2.08,-0.644,0.0184,,,-1.2,0.0128
,,,-0.2266,-2.08,-0.644,0.0184,,,-1.2,0.012
,,,-0.2264,-2.08,-0.644,0.0184,,,-1.2,0.012
,,,-0.2262,-2.08,-0.616,0.0176,,,-1.2,0.012
,,,-0.226,-2.16,-0.644,0.0184,,,-1.12,0.012
,,,-0.2258,-2.08,-0.644,0.0184,,,-1.12,0.0112
,,,-0.2256,-2.08,-0.644,0.0184,,,-1.12,0.0112
,,,-0.2254,-2.08,-0.616,0.0176,,,-1.04,0.012
,,,-0.2252,-2.08,-0.644,0.0184,,,-1.04,0.0104
,,,-0.225,-2.08,-0.644,0.0184,,,-1.04,0.0112
,,,-0.2248,-2.16,-0.644,0.0184,,,-1.04,0.0104
,,,-0.2246,-2.08,-0.644,0.0184,,,-0.96,0.0096
,,,-0.2244,-2.08,-0.644,0.0184,,,-0.96,0.0112
,,,-0.2242,-2.16,-0.644,0.0184,,,-0.96,0.0096
,,,-0.224,-2.08,-0.644,0.0184,,,-0.88,0.0088
,,,-0.2238,-2.08,-0.644,0.0184,,,-0.88,0.0088
,,,-0.2236,-2.08,-0.644,0.0184,,,-0.88,0.0096
,,,-0.2234,-2.08,-0.644,0.0184,,,-0.88,0.0096
,,,-0.2232,-2.08,-0.672,0.0192,,,-0.8,0.0088
,,,-0.223,-2.08,-0.644,0.0184,,,-0.8,0.008
,,,-0.2228,-2.08,-0.672,0.0192,,,-0.72,0.0096
,,,-0.2226,-2.08,-0.644,0.0184,,,-0.72,0.0072
,,,-0.2224,-2.08,-0.672,0.0192,,,-0.72,0.008
,,,-0.2222,-2.08,-0.672,0.0192,,,-0.64,0.008
,,,-0.222,-2.08,-0.644,0.0184,,,-0.64,0.008
,,,-0.2218,-2.08,-0.672,0.0192,,,-0.56,0.008
,,,-0.2216,-2.08,-0.672,0.0192,,,-0.56,0.008
,,,-0.2214,-2,-0.644,0.0184,,,-0.56,0.0072
,,,-0.2212,-2.08,-0.672,0.0192,,,-0.48,0.0072
,,,-0.221,-2.08,-0.644,0.0184,,,-0.48,0.0064
,,,-0.2208,-2,-0.672,0.0192,,,-0.48,0.0064
,,,-0.2206,-2,-0.644,0.0184,,,-0.56,0.0064
,,,-0.2204,-2,-0.672,0.0192,,,-0.48,0.0064
,,,-0.2202,-1.92,-0.672,0.0192,,,-0.4,0.0056
,,,-0.22,-2,-0.644,0.0184,,,-0.4,0.0056
,,,-0.2198,-2,-0.672,0.0192,,,-0.4,0.0048
,,,-0.2196,-2,-0.672,0.0192,,,-0.24,0.0064
,,,-0.2194,-1.92,-0.7,0.02,,,-0.32,0.0056
,,,-0.2192,-1.92,-0.7,0.02,,,-0.24,0.0048
,,,-0.219,-2.08,-0.672,0.0192,,,-0.24,0.0056
,,,-0.2188,-1.84,-0.672,0.0192,,,-0.24,0.004
,,,-0.2186,-1.92,-0.644,0.0184,,,-0.16,0.004
,,,-0.2184,-1.84,-0.7,0.02,,,-0.16,0.004
,,,-0.2182,-1.92,-0.672,0.0192,,,-0.16,0.0032
,,,-0.218,-1.84,-0.7,0.02,,,-0.08,0.0024
,,,-0.2178,-1.84,-0.672,0.0192,,,-0.08,0.0024
,,,-0.2176,-1.84,-0.672,0.0192,,,-0.08,0.0032
,,,-0.2174,-1.84,-0.672,0.0192,,,0,0.0032
,,,-0.2172,-1.76,-0.644,0.0184,,,0,0.0024
,,,-0.217,-1.76,-0.644,0.0184,,,0.08,0.0016
,,,-0.2168,-1.76,-0.644,0.0184,,,0.08,0.0016
,,,-0.2166,-1.68,-0.644,0.0184,,,0.08,0.0032
,,,-0.2164,-1.76,-0.616,0.0176,,,0.16,0.0024
,,,-0.2162,-1.76,-0.644,0.0184,,,0.24,0.0008
,,,-0.216,-1.68,-0.644,0.0184,,,0.24,0.0016
,,,-0.2158,-1.68,-0.616,0.0176,,,0.24,0.0016
,,,-0.2156,-1.68,-0.644,0.0184,,,0.24,0.0016
,,,-0.2154,-1.68,-0.616,0.0176,,,0.16,0
,,,-0.2152,-1.6,-0.644,0.0184,,,0.24,0
,,,-0.215,-1.6,-0.588,0.0168,,,0.24,0
,,,-0.2148,-1.6,-0.616,0.0176,,,0.32,-0.0008
,,,-0.2146,-1.52,-0.616,0.0176,,,0.32,-0.0008
,,,-0.2144,-1.6,-0.588,0.0168,,,0.4,-0.0008
,,,-0.2142,-1.52,-0.616,0.0176,,,0.4,-0.0016
,,,-0.214,-1.52,-0.56,0.016,,,0.4,-0.0008
,,,-0.2138,-1.52,-0.616,0.0176,,,0.48,-0.0016
,,,-0.2136,-1.52,-0.588,0.0168,,,0.64,-0.0024
,,,-0.2134,-1.52,-0.588,0.0168,,,0.56,-0.0016
,,,-0.2132,-1.44,-0.588,0.0168,,,0.56,-0.0016
,,,-0.213,-1.44,-0.56,0.016,,,0.64,-0.0024
,,,-0.2128,-1.44,-0.56,0.016,,,0.64,-0.0024
,,,-0.2126,-1.44,-0.532,0.0152,,,0.56,-0.0032
,,,-0.2124,-1.36,-0.532,0.0152,,,0.64,-0.0032
,,,-0.2122,-1.36,-0.588,0.0168,,,0.64,-0.0032
,,,-0.212,-1.28,-0.56,0.016,,,0.72,-0.0032
,,,-0.2118,-1.36,-0.532,0.0152,,,0.72,-0.0032
,,,-0.2116,-1.28,-0.532,0.0152,,,0.8,-0.004
,,,-0.2114,-1.2,-0.532,0.0152,,,0.72,-0.0048
,,,-0.2112,-1.2,-0.532,0.0152,,,0.8,-0.004
,,,-0.211,-1.2,-0.504,0.0144,,,0.8,-0.004
,,,-0.2108,-1.2,-0.504,0.0144,,,0.88,-0.0048
,,,-0.2106,-1.12,-0.532,0.0152,,,0.88,-0.004
,,,-0.2104,-1.12,-0.504,0.0144,,,0.88,-0.0056
,,,-0.2102,-1.12,-0.476,0.0136,,,0.96,-0.0048
,,,-0.21,-1.04,-0.476,0.0136,,,0.96,-0.0048
,,,-0.2098,-1.04,-0.476,0.0136,,,0.96,-0.0056
,,,-0.2096,-1.04,-0.476,0.0136,,,0.96,-0.0056
,,,-0.2094,-1.04,-0.476,0.0136,,,1.04,-0.0056
,,,-0.2092,-0.96,-0.448,0.0128,,,1.04,-0.0064
,,,-0.209,-0.96,-0.476,0.0136,,,1.12,-0.0064
,,,-0.2088,-0.96,-0.42,0.012,,,1.04,-0.0056
,,,-0.2086,-0.88,-0.476,0.0136,,,1.12,-0.0056
,,,-0.2084,-0.88,-0.448,0.0128,,,1.12,-0.0064
,,,-0.2082,-0.88,-0.42,0.012,,,1.12,-0.0064
,,,-0.208,-0.88,-0.42,0.012,,,1.2,-0.0064
,,,-0.2078,-0.8,-0.42,0.012,,,1.2,-0.0064
,,,-0.2076,-0.8,-0.42,0.012,,,1.2,-0.0072
,,,-0.2074,-0.72,-0.392,0.0112,,,1.28,-0.008
,,,-0.2072,-0.72,-0.392,0.0112,,,1.28,-0.0072
